Timestamp,Temperature (°C),Humidity (%),MQ2 (%),MQ5 (%),MQ135 (%)
1/5/2024 6:00,22.6,48.4,46.4,24.1,17.6
1/5/2024 7:00,27.9,58.4,11.7,33.1,22
1/5/2024 8:00,33.4,59.8,30.1,9,0.7
1/5/2024 9:00,31,62.4,22.3,59.3,31.9
1/5/2024 10:00,34.8,45.4,4.1,9.4,69.5
1/5/2024 11:00,27.6,36.4,43.8,51.9,51.3
1/5/2024 12:00,32.6,68.3,37.9,28.5,5.2
1/5/2024 13:00,27.3,44.4,0.3,45.9,52.2
1/5/2024 14:00,22.3,55.7,5.6,41.6,41
1/5/2024 15:00,26.3,64.5,44,11.6,36.9
1/5/2024 16:00,30.4,68.9,26.5,16.2,20.6
1/5/2024 17:00,31,31.9,26.5,39.5,49.3
1/5/2024 18:00,20.6,53.2,49.9,19.4,42.1
1/5/2024 19:00,23.6,57.6,11.5,12.5,12
1/5/2024 20:00,26.9,49.7,6,18.1,13
1/5/2024 21:00,22,45.3,12,43.2,44.4
1/5/2024 22:00,24.6,53.4,23.3,25.6,1
1/5/2024 23:00,28.3,66.1,33.3,23.9,32.6
1/6/2024 0:00,28,48.9,39.9,59,7.1
1/6/2024 1:00,22.8,53.8,33.1,6.8,9
1/6/2024 2:00,22.9,46.4,19,0.7,1.1
1/6/2024 3:00,27.6,32.4,40.8,12.2,62
1/6/2024 4:00,26.5,46.2,41.9,18.2,61.4
1/6/2024 5:00,24.9,42.8,44.7,43.8,68.8
1/6/2024 6:00,27.7,35.4,10.7,15.8,67.2
1/6/2024 7:00,22.5,47.3,28.9,38,63
1/6/2024 8:00,26,58.6,21,52.4,6.6
1/6/2024 9:00,20.3,33.6,24.8,55.7,15.6
1/6/2024 10:00,26.3,42.8,26.5,18.9,31.5
1/6/2024 11:00,33.9,48,30.7,2.5,7.9
1/6/2024 12:00,31.6,34.7,15.9,56.8,50.3
1/6/2024 13:00,31.5,59.9,0.3,42.7,19.1
1/6/2024 14:00,23.4,32.9,0.9,12.5,29.9
1/6/2024 15:00,28.9,67.4,45.5,45.3,37.2
1/6/2024 16:00,25,41.7,34.9,28.8,66.9
1/6/2024 17:00,34.2,53.7,21.4,18.8,50.3
1/6/2024 18:00,29.6,47.7,42.4,46.2,43.4
1/6/2024 19:00,27.1,35,7.2,5.7,58.9
1/6/2024 20:00,24,44.2,0.1,0.2,0.7
1/6/2024 21:00,27.3,47.5,7.8,43.1,42.6
1/6/2024 22:00,21.9,41.7,15.4,27.2,68.8
1/6/2024 23:00,32.6,31.8,38.5,6.9,68.6
1/7/2024 0:00,26.5,42.1,26.4,9.5,63.7
1/7/2024 1:00,23,52.4,6.7,33.7,40.1
1/7/2024 2:00,23,45.2,20.8,5.5,51
1/7/2024 3:00,33.7,57.2,4.1,3.5,50.1
1/7/2024 4:00,27.4,57.2,49.7,27,9.5
1/7/2024 5:00,27.5,53.1,4.8,34.6,6.3
1/7/2024 6:00,33.1,37.7,31.5,49.2,50.7
1/7/2024 7:00,34.2,66.1,18.7,35.3,63.7
1/7/2024 8:00,32.6,35.2,7.1,45.2,60.4
1/7/2024 9:00,30.3,31.9,48.6,54.2,1.7
1/7/2024 10:00,21.4,30.4,3,5.6,67
1/7/2024 11:00,24.3,67.8,6,1.1,1.3
1/7/2024 12:00,23.1,64.3,11.8,35.5,26.3
1/7/2024 13:00,30,61.1,13.8,48.4,23.5
1/7/2024 14:00,31.2,35.5,10.8,22.4,32.3
1/7/2024 15:00,22.6,54.2,26.2,8.4,45.5
1/7/2024 16:00,20.8,64,41.8,49.1,1.4
1/7/2024 17:00,27.8,32.6,44.2,58.8,39.4
1/7/2024 18:00,29.9,63.6,43.6,54.4,27.7
1/7/2024 19:00,23.4,52.9,26.6,13.5,61.3
1/7/2024 20:00,23.6,38.5,35.1,55.6,34
1/7/2024 21:00,31.8,35.2,33,18.1,43.6
1/7/2024 22:00,29.7,49.4,27,15.4,56.2
1/7/2024 23:00,32.5,51.8,32.5,34.3,64.5
1/8/2024 0:00,22.5,43.5,22.7,37.9,23.9
1/8/2024 1:00,23.7,50.7,12.6,58.3,14.8
1/8/2024 2:00,28.7,37.3,36.7,26.9,3.5
1/8/2024 3:00,26,50.3,15.2,40.3,3.7
1/8/2024 4:00,22.9,63.2,39.2,1.7,50.9
1/8/2024 5:00,28.6,55.9,4.3,53,62
1/8/2024 6:00,23.8,56.1,6,36.9,32.3
1/8/2024 7:00,33.4,66.4,49.3,0.5,32.5
1/8/2024 8:00,24.6,33.2,15.5,6.4,30.8
1/8/2024 9:00,30.4,48.6,13.5,42.2,13.1
1/8/2024 10:00,28.4,67.8,24.7,40.9,3.8
1/8/2024 11:00,30.8,44.6,39.6,37.2,19.1
1/8/2024 12:00,23.6,38.3,15.5,24.2,25.8
1/8/2024 13:00,24.8,50.3,45.3,47.4,23
1/8/2024 14:00,20.6,40.2,41.6,57.3,57.6
1/8/2024 15:00,34.8,67.5,36.5,38.9,1.5
1/8/2024 16:00,20.1,67.2,31.7,25.9,56
1/8/2024 17:00,28.7,64,13.3,19.1,7.3
1/8/2024 18:00,33.5,58.2,9.5,27.1,24.7
1/8/2024 19:00,24.5,31.4,4.1,8.7,46.7
1/8/2024 20:00,31.4,36.6,21.2,19,29.9
1/8/2024 21:00,32.5,48.1,10.7,33.7,50.8
1/8/2024 22:00,26.4,38.2,23.2,22.8,12
1/8/2024 23:00,32.1,54.1,36.2,30.5,10.6
1/9/2024 0:00,34.4,44.8,6.5,0.7,43.5
1/9/2024 1:00,31.2,69,35.8,59.9,17.3
1/9/2024 2:00,27.6,69.9,21.5,23.6,5.8
1/9/2024 3:00,30.7,33.9,24.5,56.2,62.2
1/9/2024 4:00,28.5,53.3,3.9,20.9,13.9
1/9/2024 5:00,33,40,32.8,11.9,48.4
1/9/2024 6:00,33.8,56.7,27.6,57.7,20
1/9/2024 7:00,22.4,68.9,45.4,53.8,23.5
1/9/2024 8:00,21.3,33.9,39.1,43.2,67
1/9/2024 9:00,23.8,47.8,46.3,8.6,60.3
1/9/2024 10:00,32.2,65.8,32,15.8,32.3
1/9/2024 11:00,20.7,46.5,18.2,24,31.6
1/9/2024 12:00,33.8,69.3,19.9,53.5,34.5
1/9/2024 13:00,31.5,49.2,27.6,51,48.5
1/9/2024 14:00,27.1,36.4,13.2,36.9,14
1/9/2024 15:00,30.2,44.1,37.2,41.3,10.9
1/9/2024 16:00,26.3,59.4,43.1,30,42.4
1/9/2024 17:00,27.6,43.8,28.3,58,58
1/9/2024 18:00,27.6,69.4,10.3,0.7,61.4
1/9/2024 19:00,33.4,37.6,11.1,44.9,60.5
1/9/2024 20:00,28.3,43,10.1,10,0.5
1/9/2024 21:00,22.2,47.9,11.8,48.4,69.2
1/9/2024 22:00,28.1,65.8,15.1,0.2,5.1
1/9/2024 23:00,24,64.5,10.8,13.2,3.8
1/10/2024 0:00,34.1,40.5,11.6,4.3,29
1/10/2024 1:00,32.5,68.5,25.6,42.7,61.7
1/10/2024 2:00,20.1,46,5.8,38.7,55.4
1/10/2024 3:00,21.3,35.1,44.7,30.3,69.1
1/10/2024 4:00,34.4,52,31.1,30.5,11.9
1/10/2024 5:00,31.3,31.3,37.4,46.2,1.2
1/10/2024 6:00,25.2,60.4,24.9,29.7,35.8
1/10/2024 7:00,22.9,34.4,40.8,20.6,27.5
1/10/2024 8:00,26.9,37,48.9,5.4,1.4
1/10/2024 9:00,32,59.2,3.9,55.3,20.7
1/10/2024 10:00,34.7,35.2,20.6,51.4,56
1/10/2024 11:00,27.3,44.5,29.1,45.2,47.7
1/10/2024 12:00,30,65.7,38.6,37.3,27.9
1/10/2024 13:00,23.3,33.6,30.9,27.2,26.8
1/10/2024 14:00,27.7,52.9,23.7,44.6,29.4
1/10/2024 15:00,22,47.7,1.3,43.7,12.1
1/10/2024 16:00,20.4,39.9,22.5,4.9,37.6
1/10/2024 17:00,29.1,50.7,4.5,3.3,19.8
1/10/2024 18:00,30.4,33.3,14.9,19.9,55.4
1/10/2024 19:00,32.5,40.2,14.1,32.3,27
1/10/2024 20:00,28,49.1,11.5,23,13.2
1/10/2024 21:00,30.6,33.8,12.2,1.2,18.7
1/10/2024 22:00,21.2,30.8,11.4,16.2,26.4
1/10/2024 23:00,20.2,53.6,2.4,47.7,56.2
1/11/2024 0:00,23.4,35,31.8,26.8,60.6
1/11/2024 1:00,26.7,55.4,21.4,43,12.4
1/11/2024 2:00,33.2,68.9,42.2,36.1,21.1
1/11/2024 3:00,30.3,51.3,35.1,16.5,27.7
1/11/2024 4:00,29,53.1,13.1,34.5,1.7
1/11/2024 5:00,27.8,35.1,42.2,54.6,38.1
1/11/2024 6:00,29.3,49.1,6.4,19.6,38.8
1/11/2024 7:00,34.8,61.5,34.5,28.7,42.8
1/11/2024 8:00,26.1,57.8,13.8,28,20.1
1/11/2024 9:00,28.1,54.9,12.7,45.8,7.4
1/11/2024 10:00,32.9,36.1,18.9,0.1,67
1/11/2024 11:00,22.8,53.2,46.1,54.9,31
1/11/2024 12:00,22.6,67.2,38.4,6.4,58.7
1/11/2024 13:00,23.8,54.9,31.9,53.7,59.5
1/11/2024 14:00,20.6,38.2,6.4,58.8,50.1
1/11/2024 15:00,24.7,47.5,9.4,25.6,13.9
1/11/2024 16:00,34,47.5,28.6,36.8,69.5
1/11/2024 17:00,24,64.9,6.4,23.1,68.4
1/11/2024 18:00,33,34.6,41.9,59.1,7
1/11/2024 19:00,29,46.6,8.2,4.8,53.5
1/11/2024 20:00,24.7,39.2,12.7,58.5,66.9
1/11/2024 21:00,28.5,32.4,30.9,7.8,18.6
1/11/2024 22:00,23.9,33.6,38.3,52.6,28.9
1/11/2024 23:00,21.4,32.9,37.9,51.1,59.7
1/12/2024 0:00,22.3,51.4,18.6,21.3,61
1/12/2024 1:00,33.3,53.5,7.6,33.1,47.3
1/12/2024 2:00,25.5,37.7,5.8,0.5,7.8
1/12/2024 3:00,26.2,54.2,48.3,37.3,61
1/12/2024 4:00,21.8,69.7,6.2,13.7,8.3
1/12/2024 5:00,20.8,68.3,13.5,46,69.9
1/12/2024 6:00,23.8,54.7,35,19.2,24.3
1/12/2024 7:00,31,61.7,22,21.3,68.5
1/12/2024 8:00,28.9,34.5,16.3,26.1,28.6
1/12/2024 9:00,23.5,35.3,48.5,53.8,16.8
1/12/2024 10:00,22,40.8,8.3,5.2,2.1
1/12/2024 11:00,27.6,38.3,32.9,7,60.7
1/12/2024 12:00,22.6,44.9,21.8,45.6,50
1/12/2024 13:00,33,66.8,3.2,50.2,34.4
1/12/2024 14:00,26.9,30.9,31.7,25.8,22
1/12/2024 15:00,21.6,36.7,31.1,2.7,13
1/12/2024 16:00,20.3,63.3,10,32.4,12.1
1/12/2024 17:00,21.9,38.3,23.3,41.8,43.5
1/12/2024 18:00,27.6,52.1,42.2,32.6,11.8
1/12/2024 19:00,31.2,59.4,15.2,58.1,25.6
1/12/2024 20:00,33.3,35.9,37.6,31.5,65.8
1/12/2024 21:00,27.3,69.1,21.2,18.5,33.6
1/12/2024 22:00,20.2,36.7,16.3,33.2,22
1/12/2024 23:00,34.2,49,15.5,23.9,59.1
1/13/2024 0:00,25.1,38.8,6.1,6.6,10.8
1/13/2024 1:00,24.4,58.8,31,51.2,60.6
1/13/2024 2:00,29.9,40.9,47.4,23,34.1
1/13/2024 3:00,34.3,56.3,35.4,24.6,37
1/13/2024 4:00,26.7,42,29.3,41.4,35.8
1/13/2024 5:00,30.9,45.6,18.4,40.6,39.4
1/13/2024 6:00,33.9,46.3,49.5,15.8,0.1
1/13/2024 7:00,26,33.5,0.4,1.2,44
1/13/2024 8:00,20.7,49,16.3,24,58.2
1/13/2024 9:00,31.1,65.1,37.7,34.8,8.8
1/13/2024 10:00,29.3,38.1,36.5,25.7,64
1/13/2024 11:00,28.2,61,16.7,21.9,65.9
1/13/2024 12:00,33.7,59.4,1.4,31,13.5
1/13/2024 13:00,31.3,42.4,34.4,24.8,69.6
1/13/2024 14:00,22.4,68.9,1.5,6.8,55.4
1/13/2024 15:00,30.5,31.2,7.1,26.1,53.4
1/13/2024 16:00,31.5,49.5,22.5,35.4,8.4
1/13/2024 17:00,25.9,43.8,1.1,57.3,69.7
1/13/2024 18:00,31.4,41.1,0.7,10.2,41.2
1/13/2024 19:00,34.3,63.4,33.7,49.5,41
1/13/2024 20:00,21.4,47.1,10.1,41.8,20.3
1/13/2024 21:00,32.9,46,48.3,55.9,17.7
1/13/2024 22:00,34.1,38.1,17,20.7,53.8
1/13/2024 23:00,33.9,49.2,20.7,56.3,57
1/14/2024 0:00,30.9,36.3,13.1,26.1,12.9
1/14/2024 1:00,22.5,38.6,42.7,46.8,35.8
1/14/2024 2:00,22.6,69.1,32,32.2,24.2
1/14/2024 3:00,29.7,54.9,39.8,12.8,15.1
1/14/2024 4:00,33,59,5.7,51.1,12.9
1/14/2024 5:00,32.8,61.5,31,19,67.5
1/14/2024 6:00,22.1,57,37.7,58.1,44.3
1/14/2024 7:00,29.6,42.2,6.2,12,66
1/14/2024 8:00,24.3,49.1,4.4,4.6,62.7
1/14/2024 9:00,23.1,45,35.9,14,0.8
1/14/2024 10:00,32.5,44.2,11.3,26.1,28.6
1/14/2024 11:00,31.8,44.4,33.4,32,61.8
1/14/2024 12:00,24.5,37.4,3,44.4,37.7
1/14/2024 13:00,33.6,54.2,12.8,42.5,36
1/14/2024 14:00,22,45.9,17.2,20.7,2
1/14/2024 15:00,32.9,54.6,29.5,8.6,9.1
1/14/2024 16:00,20.3,64,44.5,53.6,17.9
1/14/2024 17:00,21.9,46.9,20.8,24.2,65
1/14/2024 18:00,26,36.7,5.1,2.5,9.7
1/14/2024 19:00,21.1,48.5,27.7,18.2,11.6
1/14/2024 20:00,24.2,69.7,8.8,25.1,44.9
1/14/2024 21:00,27,56.4,22.1,43,37.2
1/14/2024 22:00,23.8,48.4,2.5,33.4,24.6
1/14/2024 23:00,33.2,67.1,41.4,36.3,41.8
1/15/2024 0:00,33.1,51.4,0.5,28.4,67.6
1/15/2024 1:00,22.6,53.5,35.9,5.6,4.5
1/15/2024 2:00,27.3,50.6,45.5,7.6,3.9
1/15/2024 3:00,20.8,50,21.6,51.6,48.1
1/15/2024 4:00,34.4,40.3,44.2,51.1,51.2
1/15/2024 5:00,31.3,40.5,44.8,1.4,65.3
1/15/2024 6:00,30.3,63.6,32.6,37.1,53.1
1/15/2024 7:00,27,50.4,44.3,44.8,27.1
1/15/2024 8:00,20.4,54.1,45.1,2.4,7.5
1/15/2024 9:00,27.1,68.3,32.5,28.5,3.7
1/15/2024 10:00,27.9,65.4,13.8,39.6,3.3
1/15/2024 11:00,24,33.3,17,8.3,41.3
1/15/2024 12:00,31.4,62.5,4.6,44.5,17.8
1/15/2024 13:00,33,59.2,46.5,2.2,40.7
1/15/2024 14:00,25.7,57.9,31,35.7,50.6
1/15/2024 15:00,24.1,44.3,36.6,7.5,14.1
1/15/2024 16:00,20.8,44.2,9.2,4.2,34.5
1/15/2024 17:00,25.9,55.9,17.4,42.6,3.2
1/15/2024 18:00,34.7,62,22.7,0.5,6.8
1/15/2024 19:00,31.1,30.9,14,49,32.3
1/15/2024 20:00,30.1,63.2,16.3,10.7,7.7
1/15/2024 21:00,31.2,53.3,25.2,4.7,5.3
1/15/2024 22:00,30.2,55.7,39.4,44.9,30.9
1/15/2024 23:00,26.2,62.9,42.4,27.5,68
1/16/2024 0:00,28.8,33.1,39.5,27.7,16.1
1/16/2024 1:00,23.1,46.5,19.2,2.5,55.8
1/16/2024 2:00,24.5,32.2,33.6,42.4,6.7
1/16/2024 3:00,25.1,42.6,7.1,43.2,36.7
1/16/2024 4:00,20.1,34.2,9.4,17,14.1
1/16/2024 5:00,24.1,55.2,39.3,15.9,49.1
1/16/2024 6:00,21.3,39.5,46.1,1.5,15.2
1/16/2024 7:00,22.3,30,30.1,32.6,15.2
1/16/2024 8:00,26.8,43.7,15.3,12.7,66.9
1/16/2024 9:00,32.9,40.5,45.5,7,4.9
1/16/2024 10:00,25.9,36.8,29,32,6.5
1/16/2024 11:00,25.9,68.7,23,50.7,51.5
1/16/2024 12:00,33.5,48,25,42.4,69.5
1/16/2024 13:00,26.2,39.4,7.7,36.2,53.3
1/16/2024 14:00,25.3,37.7,45.7,37.1,55.5
1/16/2024 15:00,30.5,57.4,10.4,31.9,16.4
1/16/2024 16:00,28.5,31.5,14.4,11.8,11.9
1/16/2024 17:00,32,53.6,39.6,55.3,60.9
1/16/2024 18:00,30,33,35.2,53.9,21.9
1/16/2024 19:00,28.2,30.5,9,37.7,11.1
1/16/2024 20:00,23.5,68.7,48.2,36.2,53.8
1/16/2024 21:00,31.1,46.4,16.1,6.1,63
1/16/2024 22:00,21.7,65.8,48.2,10.8,27.5
1/16/2024 23:00,23,64.7,18.7,27.5,67.4
1/17/2024 0:00,25.8,42.4,31.1,14.8,42.7
1/17/2024 1:00,24.4,32.2,1.4,47.6,31.6
1/17/2024 2:00,21.4,61.4,14.8,4.5,6.3
1/17/2024 3:00,21.9,67.2,45.1,5.3,8.2
1/17/2024 4:00,26.8,49.2,15.4,8.3,51.2
1/17/2024 5:00,22.6,40,12.1,3.6,52.7
1/17/2024 6:00,21.5,64.8,40.6,20.8,65.2
1/17/2024 7:00,30.8,66.4,17.3,34.6,16.9
1/17/2024 8:00,27.7,51.4,28.1,20.6,14.8
1/17/2024 9:00,22.1,38.3,28.5,14.1,41.5
1/17/2024 10:00,29.6,66,24.2,52.9,45.5
1/17/2024 11:00,34,63.1,17.8,47.4,6.8
1/17/2024 12:00,33.8,48,42.8,33.2,13.1
1/17/2024 13:00,31,45,24.9,56.5,1
1/17/2024 14:00,22.9,35.8,20.4,17.8,0.8
1/17/2024 15:00,23.4,38.8,37.5,39.3,11.6
1/17/2024 16:00,26.6,31.4,14.9,48.1,13
1/17/2024 17:00,29.2,45.3,17.6,49.8,63.5
1/17/2024 18:00,20.6,54,2.9,39,9.9
1/17/2024 19:00,34,51.8,21,54.5,27.2
1/17/2024 20:00,26.3,49.6,30,38,55.6
1/17/2024 21:00,22.7,49.6,45.8,20.6,42.7
1/17/2024 22:00,30.2,41.7,13.3,54.5,19.5
1/17/2024 23:00,22.1,30.8,3,55.9,57.1
1/18/2024 0:00,24.2,47.8,10.3,34.1,12.1
1/18/2024 1:00,27,53.2,16.7,22.3,33.5
1/18/2024 2:00,34.5,55.7,26.2,10.3,37.3
1/18/2024 3:00,26.2,32.5,30.9,37.6,14.5
1/18/2024 4:00,22.7,36.2,2.4,39,69.8
1/18/2024 5:00,21.3,56.7,14.5,7,68.7
1/18/2024 6:00,26.7,52.1,47.6,27.4,28.6
1/18/2024 7:00,31.5,47.1,23.7,55,56.6
1/18/2024 8:00,26.4,52.7,33.2,4.9,16.5
1/18/2024 9:00,31.7,52.1,41.3,29.5,6.7
1/18/2024 10:00,28.5,46.8,25.1,1.8,13.8
1/18/2024 11:00,34.1,34.1,18.4,35,16.8
1/18/2024 12:00,27.7,30.1,47.2,58.5,26.4
1/18/2024 13:00,30.5,33.8,9.3,33.7,53.6
1/18/2024 14:00,21.2,33.8,10.8,52.6,10.7
1/18/2024 15:00,32.8,34,39.2,46.3,67.9
1/18/2024 16:00,34.4,50.2,40.6,5.1,64.1
1/18/2024 17:00,29.6,59.3,30.1,29.5,20.8
1/18/2024 18:00,28.6,39.4,42,11.6,43.7
1/18/2024 19:00,31.4,58,4.2,0.6,12.8
1/18/2024 20:00,31.9,31.3,5.6,4.4,1.8
1/18/2024 21:00,33.6,65.1,27.7,26,14
1/18/2024 22:00,26.9,63.5,10.8,18.7,32.6
1/18/2024 23:00,28.3,38.5,11.8,4.3,17.3
1/19/2024 0:00,31.8,35,32.9,14.1,45.6
1/19/2024 1:00,25.7,35.7,40,53.6,15.9
1/19/2024 2:00,34.5,59.7,19.1,42.8,39.3
1/19/2024 3:00,31.6,39.7,41.1,8.2,30.7
1/19/2024 4:00,26.3,36.6,0.1,37.4,32.4
1/19/2024 5:00,20.2,51.8,42.3,9.9,66.4
1/19/2024 6:00,20.8,31.9,31.3,39.7,67
1/19/2024 7:00,28.7,31.2,39.2,26.9,63.9
1/19/2024 8:00,35,30.1,46.3,37.1,1.2
1/19/2024 9:00,23.3,48.9,23.3,27.4,4.1
1/19/2024 10:00,30.8,53.8,45,48.7,69.3
1/19/2024 11:00,31.6,52.1,45.8,47.3,8.2
1/19/2024 12:00,30.4,64.2,11.6,30.1,68
1/19/2024 13:00,22.6,37.8,3.9,17.8,50.1
1/19/2024 14:00,34.7,32.8,2.1,34.6,65.8
1/19/2024 15:00,23.4,43.1,19.7,31.7,35.1
1/19/2024 16:00,28.3,51.2,0.9,39.9,22.5
1/19/2024 17:00,31.7,43.5,15,60,11.2
1/19/2024 18:00,21.1,60.8,37.5,16.3,33.4
1/19/2024 19:00,32.8,33.1,22.1,44.4,32.8
1/19/2024 20:00,22.9,39.4,12.3,45.2,8.8
1/19/2024 21:00,29.6,45.3,36.1,34.1,56.8
1/19/2024 22:00,30.4,38.2,25,35.1,18.1
1/19/2024 23:00,34,55,41.9,41.7,8.7
1/20/2024 0:00,34.8,48,20,35,45.4
1/20/2024 1:00,24.2,45.4,11.2,48.8,29.1
1/20/2024 2:00,27.1,49.5,4.9,14,38.3
1/20/2024 3:00,29.2,45.8,6.9,16.3,38.2
1/20/2024 4:00,30.7,30.7,43.5,15,59.2
1/20/2024 5:00,29.7,57.7,11.2,28,61.8
1/20/2024 6:00,29.4,53,33.7,30.4,33.4
1/20/2024 7:00,22,59.4,36.3,60,25.2
1/20/2024 8:00,25.3,51.2,0.8,28.4,21.8
